season,point,temperature,conductivity,od,ph,toc,ic,tn
rainy,a1,24.9,3.16,3.8,7.5,2.54,2.58,0.23
rainy,a2,25.8,1.76,3.2,7,2.14,1.38,0.23
rainy,a3,24.1,0.96,3.1,7.2,2.94,1.78,0.33
rainy,a4,24.4,1.86,2.9,7.2,2.24,0.88,0.33
rainy,a5,24.3,2.86,3.2,7.6,2.14,0.58,0.23
rainy,a6,24.4,1.56,3.6,7,1.24,0.88,0.13
rainy,a7,24.9,3.06,2.8,7.3,2.34,2.98,0.23
rainy,a8,24.1,1.46,3.7,7.4,1.34,1.08,0.23
rainy,a9,24,2.66,3.7,7.1,2.24,2.58,0.33
rainy,a10,25.2,3.06,3.7,7.1,2.74,2.28,0.23
rainy,a11,24.3,0.86,3.9,7.1,1.94,2.38,0.13
rainy,a12,24.9,0.96,2.8,7,1.44,2.58,0.13
rainy,a13,24.8,1.06,3,7.3,2.04,2.18,0.33
rainy,a14,25,1.06,3.3,7.3,1.14,1.48,0.13
rainy,a15,24.8,2.26,2.8,7.2,1.24,2.88,0.23
rainy,a16,23.7,1.26,3.1,7.5,1.44,1.98,0.23
rainy,a17,23.9,0.66,3.5,7.3,1.54,2.18,0.13
rainy,a18,24.3,1.86,3.7,7.1,1.14,2.88,0.23
rainy,a19,24.2,2.46,3.6,7.1,2.94,1.58,0.33
rainy,a20,23.7,1.46,3.4,7.2,2.54,2.08,0.23
rainy,a21,24.1,2.66,3.3,7.5,1.14,1.18,0.13
rainy,a22,23.8,0.86,3,7.6,1.74,0.48,0.13
rainy,a23,25.2,1.36,3.4,7.3,1.94,2.78,0.13
rainy,a24,25.3,2.16,3.4,7.3,1.54,0.98,0.33
rainy,a25,24.2,0.66,3.8,7.2,1.24,1.38,0.33
rainy,a26,24.3,3.06,3.6,7.2,2.24,2.68,0.13
rainy,a27,25.4,3.16,3.7,7.6,2.04,0.48,0.13
rainy,a28,24,0.86,2.9,7.3,1.44,2.08,0.23
rainy,a29,25.1,3.26,3,7.4,2.74,1.08,0.23
rainy,a30,25.9,2.86,2.9,7.5,3.14,2.78,0.23
dry,b1,29.5,19.72,4,7,1.26,2.403,0.32
dry,b2,28.8,14.42,5,7.5,2.56,2.003,0.22
dry,b3,30,11.72,4.1,7.6,1.06,2.303,0.32
dry,b4,29.2,36.12,4.9,7,1.86,0.703,0.32
dry,b5,33.3,39.02,4.9,7.2,1.66,2.203,0.32
dry,b6,31.5,38.62,3.8,7.6,2.26,1.703,0.32
dry,b7,29.4,15.22,5,7.5,1.76,2.603,0.12
dry,b8,30.2,27.52,4.3,7.4,1.16,1.703,0.32
dry,b9,33,30.22,4.7,7.1,2.36,2.203,0.32
dry,b10,32.6,6.22,4.4,7.1,2.56,1.603,0.32
dry,b11,30,22.12,4.9,6.9,2.66,0.303,0.32
dry,b12,32,27.02,4.1,7.4,1.26,2.803,0.12
dry,b13,29.8,18.52,3.8,7.3,1.26,2.103,0.32
dry,b14,32.6,21.42,3.8,7.6,2.56,1.103,0.22
dry,b15,33.9,21.02,4.3,7.5,2.06,1.103,0.12
dry,b16,32.8,3.52,4.7,7.2,2.56,2.103,0.22
dry,b17,31.8,13.52,4,7.6,1.36,0.503,0.22
dry,b18,31.1,33.12,4.5,7.2,2.26,2.703,0.32
dry,b19,32.5,2.02,4.2,6.9,2.26,2.603,0.12
dry,b20,33,39.62,4.3,7.5,1.66,0.303,0.12
dry,b21,32.3,39.52,4.8,7.1,2.46,0.403,0.12
dry,b22,32.1,23.62,4.1,7.6,1.06,2.403,0.12
dry,b23,31.6,29.62,4.4,7.6,2.16,2.503,0.32
dry,b24,32.8,37.42,3.8,7,2.56,2.703,0.22
dry,b25,29.4,21.42,4.7,7.2,2.46,2.703,0.32
dry,b26,32.2,6.92,4,7.5,1.16,0.503,0.12
dry,b27,31.1,8.22,4.4,7.1,1.66,0.803,0.12
dry,b28,30.4,36.72,5,7.5,1.76,0.903,0.32
dry,b29,28.9,31.62,4,7.5,1.96,1.003,0.22
dry,b30,31.8,4.32,4.8,7.3,2.36,1.203,0.32
